id,full_id,youtube_tags,predicted_tags
gGmn,gZfThvMXXM4,"['Pokemon', 'yellow', 'Green', 'Bue', 'Red', 'Ash', 'Vs', 'Gary', 'The', 'First', 'Fight', 'On']","['Game', 'Video game', 'Cartoon', 'Pokémon', 'Pokémon (video game series)', 'Pikachu', 'Pokémon Red and Blue', 'Pokémon Yellow']"
gHjp,GySDiwXzPWE,"['Grand', 'Theft', 'Auto', 'San', 'Andreas', 'GTA', 'SA', 'ГТА', 'СА', 'ЖТА', 'ПЕФ', 'Сан', 'Андреас', 'прохождение', 'видео', 'игра', 'Клуб', 'игроков', 'СиДжей', 'CJ', 'Карл', 'Джонсон', 'тридцать', 'шестая', 'миссия', '36', 'сельская', 'местность', 'Правда', 'Праведник', 'хиппи', 'наркотики', 'травка', 'конопля', 'ферма', 'Сан-Фиерро', 'второй', 'город', 'San-Fierro']","['Game', 'Video game', 'Action-adventure game', 'Grand Theft Auto V', 'Grand Theft Auto: San Andreas', 'Carl Johnson (Grand Theft Auto)']"
3Vvz,sdWVia-cXLs,"['dance', 'you', 'ich', 'tantz', 'di', 'avrumytuli', 'kalisch', 'Brull', 'Avrumi', 'Kalish', 'Tuly', 'Brill', 'avrumy', 'tuli', 'bashefer', 'im', 'yours']",['Music video']
rk7s,2HTi_K-y-ww,"['how', 'is', 'lawn', 'turf', 'harvested', 'at', 'Lawns', 'TGA', 'grower', 'supplier']","['Vehicle', 'Car', 'Machine', 'Truck']"
2HNS,DyeeJokFlPY,['Ca - USA; Get lucky'],"['Concert', 'Musician']"
5Xiv,IaoO39HZLt8,"['Lionel Messi (Soccer Player)', 'Ronaldinho (Soccer Player)', 'Ronaldo (Football Player)', 'Goal', 'Association Football (Sport)', 'Real', 'Fifa']","['Game', 'Association football', 'Highlight film']"
dwO3,yVP9uinusTc,"['BandaUniónJuventudSunicancha', 'Banda', 'Unión', 'Juventud', 'Sunicancha', 'Huarochiri', 'BandaSunicancha']",['Musical ensemble']
IsGp,fj0nFFADVWY,"['Battlefield 4', 'Battlefield', 'PL', 'Polska', 'gameplay', 'Wojna na Morzu', 'DICE', 'rozgrywka', 'BFCentral', 'Mestre', 'Mestrepl', 'live', 'recenzja', 'Naval Strike']","['Game', 'Video game', 'Trailer (promotion)', 'Battlefield (series)', 'Battlefield 3', 'Battlefield 4']"
SEu7,b2SRdZkED0s,,"['Boat', 'Ship']"
mBJb,yPjWmpYKSJM,"['Boy', 'breakdancing', 'break', 'dance', 'documentary', 'trailer', 'movie', 'film']","['Performance art', 'Dance', 'Trailer (promotion)']"
NkB6,2Mssu3eIAW0,"['Website', 'Customer', 'SB', 'software', 'Computer Software', 'Business', 'Technology', 'Management', 'System', 'Design', 'Data', 'software tutorial', 'Information']",
6oIH,qHMxn2IFRtE,"['Antonio Granjero', 'Estefania Ramirez', 'Entreflamenco', 'Yiyi', 'Ricardo Anglada', 'Alejandro Pais', 'Santa Fe', 'Flamenco in Santa Fe']","['Performance art', 'Dance']"
WBAd,Ixcb-LlCz_w,"['Koblenz', 'ADC', 'Chormusik', 'Chor', 'Singen', 'Musik', 'Kultur', 'Konzert', 'Invictus', 'Dir. Jochen Lorenz']","['Concert', 'Musician', 'Performance art', 'Musical ensemble', 'Choir', 'Orchestra', 'Brass instrument', 'Pirates of the Caribbean (film series)']"
KRcX,6u7gEPxKz2M,"['roślina', 'piękna roślina', 'kwitnące', 'kwitnące w zimie', 'centrum ogrodnicze', 'kocham tę roślinę', 'miejskiOGRODNIK', 'ciemiernik', 'poradnik', 'porady ogrodnika', 'poradnik ogrodniczy', 'poradniki ogrodnika']","['Plant', 'Gardening']"
PH7W,9lIT0UqZcj0,"['The', 'Mist', '2007', 'HD', 'Trailer', 'Toichiase', 'net', 'YouTubebf']",['Trailer (promotion)']
AZ39,0Qyn_sHxsgY,"['Nole', 'Novak', 'Djokovic', 'Tennis', 'Champion', 'Roger', 'Federer', 'Rafael', 'Nadal', 'Andy', 'Roddick', 'Serbia', 'Pride', 'Maria', 'Sharapova', 'Ana', 'Ivanovic', 'Caroline', 'Wozniacki', 'Victoria', 'Azarenka', 'Jelena', 'Jankovic', 'Kim', 'Clijsters', 'Li', 'Na', 'Grand', 'Slam', 'Winner', 'Murray', 'Gilles', 'Simon', 'Mardy', 'Fish', 'Ryan', 'Harrison', 'Gael', 'Monfils', 'Jo', 'Tsonga', 'Tomas', 'Berdych', 'Feliciano', 'Lopez', 'Juan', 'Martin', 'Del', 'Potro', 'Monaco', 'Janko', 'Tipsarevic', 'Viktor', 'Troicki', 'Fernando', 'Verdasco', 'Robin', 'Soderling', 'Australia', 'Miami', 'Indian', 'Wells', 'Belgrade', 'Madrid', 'Rome', 'Paris', 'Semifinal', 'Final', 'Wimbledon', 'Montreal', '2011']","['Game', 'Tennis', 'Racket (sports equipment)', 'Forehand']"
hZ1z,2DyOMub-0Pw,"['2001 Volkswagen Passat', 'VW Passat', 'VW', 'Passat', 'Malibu Motors Victoria', 'Malibu Motors']","['Vehicle', 'Car', None, 'Sedan (automobile)', None, 'Mercedes-Benz', 'Chevrolet', 'Audi']"
YVxp,L-02Z9pAxSQ,"['Armandinho', 'Noites', 'Cariocas', 'Jacob', 'do', 'Bandolim', 'Santos', '10', 'cordas', 'jmsantos', 'jmsantosluthier', 'jmsantosguitars', 'luthier', 'mandolin', 'bandolim', 'bandolinista', 'musico', 'guitar', 'country', 'caipira', 'acousticguitar', 'handmade', 'handcrafted', 'mandolinist', 'mandoline', 'mandolina', 'mandolino', 'mandolinplayer', 'bandolim10', 'bandolim10cordas']","['Musician', 'Guitar', 'String instrument', 'Acoustic guitar', 'Viola', 'Banjo', 'String (music)', 'Mandolin', 'Video lesson', 'Bouzouki', 'Twelve-string guitar', 'Charango', 'Viola caipira']"
lR60,9nPOHqo1jUo,"['Forza Motorsport 5', 'Forza Horizon 2', 'Playground Games', 'Turn 10', 'Xbox', 'Xbox One', 'Forza Gameplay', 'Forza Horizon', 'gamescom', 'Lamborghini Huracan', 'SRT Viper', 'McLaren P1', 'Scion FR-S', 'Subaru BRZ', 'Nissan GTR', 'Mitsubishi Lancer Evolution', 'Nissan 370Z', 'Audi R8', 'Ford Raptor', 'Toyota Celica', 'Toyota Supra']","['Game', 'Video game', 'Racing', 'Sports car', 'Xbox One', 'Forza (series)', 'Forza Horizon', 'Forza Horizon 2', 'The Crew (video game)']"
n6nn,FKjeClLPwzA,"['Ibanez', 'bass', 'test', 'bajo electrico', 'prueba', 'jamiroquai', 'pedro aznar', 'audioslave', 'covers', 'focusrite', 'cubase', 'Jam', 'Guitar', 'Bass (Musical Instrument)']","['Musician', 'Guitar', 'String instrument', 'Acoustic guitar', 'Electric guitar', 'String (music)', 'Cort Guitars']"
qLUO,RrAnDBEgM7g,['00069'],"['Vehicle', 'Car', 'Engine']"
26dq,FT7lF2oLE-E,"['ZUTTER', '쩔어', 'BIGBANG2015WORLDTOUR', 'MADEWORLDTOUR', 'BIGBANGMADEINCHENGDU', 'MADEINCHENGDU', 'BIGBANG成都演唱會', 'BIGBANG成都演唱会', 'BIGBANG二巡成都站', 'GD&TOP', 'GTOP', 'GD', 'GDRAGON', 'KWONJIYONG', '권지용', '지드래곤', '權志龍', '权志龙']","['Concert', 'Musician', 'Performance art']"
UiQL,i7ndcqOO3ZQ,"['taniathepirate', 'tania', 'the', 'pirate', 'texas', 'youtube', 'youtuber', 'vlogger', 'blogger', 'houston', 'area', 'beauty', 'guru', 'beautyguru', 'beauty-guru', 'what', 'anime', 'review', 'reviews', 'reviewing', 'should i', 'should', 'watch', 'to', 'next', 'blog', 'blogs', 'vlog', 'vlogs', 'vlogging', 'blogging', 'nerd', 'nerdy', 'geek', 'geeky', 'geeks']",
Baqc,W1p-vc0J6S8,,
z4HT,9vAXcfkCl88,"['multi', 'touch', 'capacitive', 'pos', 'display', 'sales', 'all', 'in', 'one', 'system', 'intel', 'core', 'i7', 'ssd', 'applications', 'fashion', 'restaurants', 'hotels', 'retail', 'events', 'trade', 'fairs', 'museums', 'galleries', 'travel', 'real', 'estate', 'finance', 'software', 'computer', 'electronics', 'future', 'Hotel']","['Mobile phone', 'Gadget', 'Personal computer', 'Tablet computer']"
AkG1,hnavbNUwFTA,"['英雄聯盟', 'HKEsport', 'Dinter', 'Stanley', 'Raison', '丁特', '鍵盤', '痛', 'League Of Legends (Video Game)']","['Game', 'Video game', 'Strategy video game', 'League of Legends', 'Riot Games']"
QzbY,M2PbPxhHAMU,"['AllTerrainProductions', 'Oakley', 'Splice', '2012']",
ErvQ,44FxiDBsmgs,"['mattel', 'hot', 'wheel', 'wheels', 'video', 'review', 'revue', 'vidéo', 'présentation', 'voiture', 'voitures', 'car', 'cars', 'twin', 'mill', 'III', 'new', 'models', '2008', 'heat', 'fleet', '2012', 'segment', 'series', 'die', 'cast', 'jouet', 'jouets', 'toy', 'toys', 'fr', 'fra', 'français']","['Vehicle', 'Car', 'Toy', 'Sports car', 'Model car', 'Hot Wheels']"
U1Gn,tjuqrEdRx3k,"['robot', 'jucarii', 'jucarie', 'cadou', 'cadouri', 'mos', 'craciun']",['Robot']
u8in,UENI_ajoOQE,"['hackaday', 'tesla', 'coil', 'arcattack', 'makerfaire']",
z7jb,1FV_netWXKI,,"['Game', 'Video game', 'Cartoon', 'Strategy video game', 'Campsite']"
zEeG,SSntxYBHzbc,"['pink', 'v2']",['Dance']
qoX4,S-oKPbYz6Ks,"['Nicaragua beach resort', 'all inclusive resort', 'honeymoon nicaragua']","['Hotel', 'Beach', 'Resort']"
0eJ0,zJJJrB5A5Rw,['mtg'],"['Game', 'Video game', 'Strategy video game', 'Magic: The Gathering']"
Xj92,PdAq4udjnxM,"['Owl City (Musical Artist)', 'Live', 'take', 'it', 'all', 'away', 'Concert (TV Genre)', 'Chicago (City/Town/Village)']","['Concert', 'Musician', 'Performance art']"
Fn4p,VblqcRvN7-Y,"['The', 'Symphony', 'of', 'Bang', 'Goes', 'Theory', 'John', 'Boswell', 'melodysheep', 'Science', 'Autotune', 'Dallas', 'Campbell', 'Jem', 'Stansfield', 'Liz', 'Bonnin', 'Dr', 'Yan', 'Wong', 'Prof', 'Jim', 'Al-Khalili', 'Tara', 'Shears', 'musical', 'celebration', 'song', 'music', 'tantalising', 'questions', 'explosions', 'BBC', 'One', 'bbcone']",
lpZA,Dhuu-On-uBE,"['brawl', 'smash', 'stickers', 'music', 'cds', 'pikachu', 'farming']","['Game', 'Video game', 'Super Smash Bros.', 'The Legend of Zelda', 'Super Smash Bros. Melee', 'Bowser (character)', 'Ganon']"
gmkw,mep2YZOqn6Q,"['Aquarius', 'August (Month)', 'Month (Unit Of Time)', 'Daily', 'Sign', 'Horoscope', 'Forecast', 'monthly', 'august 2015', 'Astrology', 'free', 'psychic', 'intuitive', 'spirit', 'advice', 'guidance', 'energy', 'tarot', 'tarot card', 'card reading']",
lsKw,Ci8xjzb0wjU,"['Pumpkin Flan', 'how to', 'flan']","['Food', 'Recipe', 'Cooking', 'Cuisine', 'Dish (food)', 'Dessert', 'Cake', 'Baking', 'Chocolate', 'Egg as food']"
bSO8,elokLD5ysEA,"['gioachino', 'Chamber', 'rossini', 'orchestra', 'overture', 'Gioacchino Rossini (Author)', 'La Scala Di Seta: Overture', 'Classical', 'Classical Music', 'Chamber Music (Musical Genre)', 'David Commanday']","['Concert', 'Musician', 'String instrument', 'Musical ensemble', 'Orchestra', 'Violin', 'Viola', 'Cello', 'Flute', 'Oboe']"
DHhc,yd6y-W-RHS0,"['gbox', 'gbox midnight', 'xbmc', 'media streamer', 'internet streamer', 'watch free movies', 'porno', 'porn', 'movie streaming', 'free movies online', '1channel.ch']","['Video game', 'Mobile phone', 'Gadget', 'Personal computer', 'Television', 'Computer monitor', 'Television set']"
jyw9,fi81YJTdoGk,"['College', 'University', 'School', 'Student', 'Campus', 'Talent', 'Talent Show', 'pageant', 'poreotics', 'cinema', 'dubstep']","['Performance art', 'Dance']"
N8Bl,rlHRveZnuqE,"['animation', 'anime']","['Cartoon', 'Animation', 'Naruto', 'Sasuke Uchiha']"
Pni0,Vu1rSfTtOEw,,"['Vehicle', 'Aircraft', 'Airplane', 'Jet aircraft', 'Aviation', 'Helicopter', 'Fighter aircraft', 'Air force']"
uwuD,wp3JR9dNmqk,"['wow', 'dk', 'arena', 'pvp']","['Game', 'Video game', 'World of Warcraft', 'Warcraft', 'Role-playing game', 'Arena']"
dBDb,yeuoQU2aRQ8,"['omega', 'liar', 'omegaliar', 'black', 'ops', 'call', 'of', 'duty', 'modern', 'warfare', 'mw3', 'quickscoping', 'channel', 'update', 'recent', 'subscribers', 'mp5', 'silenced', 'rapid', 'fire', 'pm9', 'overkill', 'overkiller', 'slight', 'hand', 'steady', 'aim', 'dead', 'silence', 'pro', 'perks', 'mission', 'free', 'for', 'all', 'ffa', 'Call Of Duty 4: Modern Warfare', 'Call Of Duty: Modern Warfare 3', 'Deathmatch (gaming)', 'Call Duty', 'Cod', 'Mw2', 'Cod4', 'Montage', 'Call Of Duty: Modern Warfare 2', 'Cod5', 'Gameplay', 'Xbox', 'Run', 'Duty Modern', 'World', 'Scope', 'Ps3', 'Zombies', 'Cod6', 'Duty World', 'Multiplayer', 'Ward']","['Game', 'Video game', 'Call of Duty', 'Call of Duty: Modern Warfare 2', 'Call of Duty: Modern Warfare 3', 'First-person shooter', 'Call of Duty 4: Modern Warfare']"
EyYO,CaqYUL-EnRE,"['Baby', 'パンダ「優浜」2012']","['Animal', 'Pet', 'Zoo', 'Bear', 'Giant panda', 'Yuan Zai (giant panda)']"
3H1f,WW6DiNUky38,"['thegreatgatsby', 'tlrf1', 'tr', 'sub', 'qt', '720', 'muhtesem gatsby', 'baz luhrmann', 'leonardo dicaprio', 'tobey maguire', 'carey mulligan', 'joel edgerton', 'newyork', '1920', 'jazz', 'prada', 'parti', 'moet', 'fragman', 'türkçe altyazılı fragman', '2013', 'roman', 'yazar', 'ımax', '3D']",['Trailer (promotion)']
OszB,KU9L7o9pRS4,"['声动亚洲', '东方卫视', '东方卫视声动亚洲', '音乐评论员', '黄舒骏', '高晓松', '孙楠', '谭校长', '谭咏麟', '张宇', '李克勤', '齐秦', '中国好声音', '那英', '刘欢', '思妍丽·声动亚洲', 'Benylan', '樱花飞雪最美是你']",['Concert']
4uoW,Q9x7YP-x-ZY,"['river', 'rafting', 'white', 'water', 'fun', 'laughs', 'comedy', 'golden', 'british', 'columbia', 'cold', 'fast', 'wet', 'comdey', 'newfie']","['Vehicle', 'Outdoor recreation', 'Boat', 'Kayak', 'River', 'Canoe', 'Inflatable boat', 'Rafting']"
yO5B,OyGn40OfSBc,"['Minecraft survival island seed 1.7.2', 'Minecraft survival island 1.7.2', 'minecraft island 1.7.2', 'minecraft survival 1.7.2', 'minecraft 1.7.2', 'survival island seed 1.7.2', 'survival island 1.7.2', 'island 1.7.2', 'island', '1.7.2', '1.7', 'minecraft survival island seed 1.7', 'minecraft island seed 1.7', 'minecraft', 'island seed 1.7', 'epic minecraft seed 1.7.2', 'cool minecraft seeds 1.7.2', 'minecraft seeds', 'minecraft seed']","['Game', 'Video game', 'Minecraft', 'Seed']"
05Vt,GwEHtjkvSko,"['campos electromagneticos', 'wifi', 'colegios', 'ps3', 'radiaciones electromagneticas', 'escuelas', 'Wi-Fi', 'electrosmog']","['Video game', 'Video game console', 'PlayStation 3', 'Xbox 360', 'Television', 'Xbox', 'PlayStation', 'Xbox (console)']"
JKcl,2YrZgoP1k3o,"['Ohio State football 2015', 'hype video', 'Joey Bosa', 'Ezekiel Elliott', 'Braxton Miller', 'Big Ten football', 'Urban Meyer', 'Ohio State pump up', 'Ohio State 2015 hype video', 'Raekwon McMillan', 'Ohio State Buckeyes Football (American Football Team)', 'American Football (Sport)', 'Vonn Bell', 'Darron Lee', 'Michael Thomas (Football Player)', 'Cardale Jones']","['Game', 'American football', 'Highlight film', 'Running back']"
Fiqq,JyYjtTKAH-c,"['Piggi', 'FWP.149D', 'Piaggio', 'Focke Wulf', 'P149D', 'D-EDPO', 'Lycoming', 'GO 480']","['Vehicle', 'Aircraft', 'Airplane', 'Radio-controlled model', 'Model aircraft', 'Radio-controlled aircraft', 'Takeoff', 'Aviation', 'Gliding', 'Ultralight aviation', 'Aerobatics', 'Glider (aircraft)', 'Glider (sailplane)']"
HVfw,nUyNhQA6faI,"['Erykah', 'badu', 'Michel', 'Gondry']","['Concert', 'Musician', 'Performance art', 'Guitar', 'String instrument', 'Musical ensemble', 'Drum kit', 'Drum', 'Drummer']"
SNBd,D5Gu-sGKoCA,"['Plastering CMU walls', 'How to skim CMU walls', 'CMU homes', 'how to prepare a block home', 'stucco lath over cmu walls', 'tie cmu walls to wood walls', 'House (Building Function)', 'Images for parging', 'parging', 'how to parge wood to cinder blocks', 'how to parge stucco to blocks', 'tie in cmu to wood', 'wood to CMU walls', 'lath Cmu to wood sheathing', 'plywood to cmu walls', 'Parging CMU blocks to a wood wall', 'sheathed walls into Cinder Blocks', 'plastering plywood into cinder block']",
4PqI,ym1lT4R86EA,,"['Animal', 'Robot', 'Farm', 'Cattle', 'Livestock', 'Milk', 'Milking']"
DABE,7sJ0vXgOtSc,,"['Animal', 'Pet', 'Dog', 'Cat', 'Kitten', 'Black cat']"
jmx1,nOb9odrzWEo,"['folding', 'camper', 'trailer', 'camping', 'caravan', 'tent', 'Chateau', 'Mobile', 'Lillebror', 'Little', 'Brother']","['Vehicle', 'Recreational vehicle', 'Camping', 'Tent']"
lbkA,dFMl2qyAEk8,"['Motorsäge', 'Motorsense', 'Laubbläser', 'Heckenschere']","['Vehicle', 'Tool', 'Chainsaw', 'String trimmer']"
s9SX,zj52pz2Bw04,['jordan titanium.'],"['Fashion', 'Shoe', 'Sneakers', 'Boot']"
qzxX,n3UdNa-NRUA,"['Brits', 'British', 'BMX', 'Championships', '2009', 'Cheddar', 'Male', 'Final']","['Racing', 'Cycling', 'Bicycle']"
KMga,QtNhVQE1b38,"['trip', '2012', 'mike modano', 'michael ryder', 'ryder', 'hockey', 'On The Road', 'dallas stars', 'dallas', 'stars', 'Dallas Stars', 'loui eriksson', 'mike ribeiro', 'nhl', 'National Hockey League', 'Goal']","['Music video', 'Winter sport', 'Ice skating', 'Hockey']"
vby0,-OuBN0Cb30Q,"['BMW (Organization)', 'Cars', 'BMW 5 Series']","['Vehicle', 'Car', 'Sport utility vehicle', 'Sedan (automobile)', 'BMW', 'Coupé', 'BMW Motorrad', 'BMW 3 Series', 'BMW 5 Series', 'BMW 3 Series (E90)', 'BMW 7 Series', 'BMW 5 Series (E60)', 'BMW 5 Series (F10)']"
xod6,ge1e4deIRTw,"['Shopkins Figures', 'Series 1 MicroLite', 'Microlite', 'Squishy Toy', 'Tech 4 kids', 'Shopkins Toy', 'Lucky Penny Shop', 'Moose Toys', 'Shopkins']","['Toy', 'The Walt Disney Company', 'Kinder Surprise', 'Candy', ""McDonald's"", 'Gummi candy']"
AZI3,rmBcFzwAq0w,"['rolloff', 'truck', 'garbage', 'sterling', 'dumpster']","['Vehicle', 'Car', 'Transport', 'Truck', 'Dump truck']"
9yGz,rD6WlmibbFc,"['popping', 'tutorial', 'dance', 'lessons', 'how', 'to', 'pop', 'wave', 'robot', 'do', 'the']",['Dance']
8Bh1,2X2oZpeFFF8,"['Frei.Wild', 'Bretinga', 'Breitungen', 'Thüringen', 'Südtirol', 'Brixen', 'Punk', 'Deutschrock']","['Concert', 'Musician', 'Performance art', 'Musical ensemble', 'Drummer']"
Cjj5,-5eMdDSCuwE,"['ślub', 'zdjęcia', 'wedding', 'slideshow']","['Wedding', 'Photography', 'Bride', 'Slide show', 'Wedding photography']"
CxoS,bkoY9_Gt4aM,"['Cruise', 'and', 'race', 'video']","['Vehicle', 'Car', 'Motorsport', 'Racing', 'Sports car', None, 'BMW', 'Exhaust system', 'Coupé', None, 'Ford Mustang', 'Muscle car', 'Chevrolet Camaro', 'Chevrolet Corvette', 'Mitsubishi Lancer Evolution', 'Ford GT', 'Supercharger', 'Shelby Mustang', 'Ford Mustang SVT Cobra']"
4Jon,4sMqV8g3LHc,"['twitch', 'justin.tv']","['Game', 'Video game', 'Battlefield (series)', 'First-person shooter', 'Battlefield 3', 'Battlefield 4', 'Battlefield: Bad Company 2']"
uWCT,k6ASzeWXXoA,"['www.ilmangiaweb.it', 'LUMACHE', 'DI', 'CHERASCO', 'AZIENDA', 'ELICICOLA', 'CUNEO', 'SPECIALITA', ""D'IATLIA""]","['Food', 'Animal']"
jDkJ,qYECyHBkiqM,['fotos'],"['Wedding', 'Bride', 'Slide show', 'Wedding dress']"
NdYN,tj8745zFdMU,"['aston martin', 'db9', 'for sale', 'ferrari', 'porsche']","['Vehicle', 'Car', 'Sports car', 'Supercar', 'Coupé', 'Mercedes-Benz', 'Mercedes-AMG', 'Jaguar Cars', None, 'Aston Martin Vantage (2005)']"
y7LH,qHFzPKKpiGM,"['Samo', 'camila', 'samo', 'sin ti', 'inevitable', 'presentacion', 'disco', 'sony', 'en vivo', 'concierto', 'showcase', 'album', 'De Qué Me Sirve La Vida (Musical Recording)', 'concierto inevitable']",['Concert']
VpZk,rZZp3lNINiA,"['art', 'drawing', 'painting', 'pencil', 'pen', 'pastel', 'cartoons', 'charactors', 'free hand', 'charcoal', 'colored pencils', 'celebirties', 'water color', 'water', 'color', 'sharpies', 'markers', 'paintbrush', 'canvas', 'artist', 'young', 'cool', 'drawings', 'how to draw', 'how to', 'video', 'dope2111']","['Cartoon', 'Art', 'Drawing', 'Painting', 'Sketch (drawing)', 'Portrait', 'Pencil']"
PSK9,KarcfirWoOs,"['bolero', 'colonia del valle', 'delvallede10', 'ciudad de méxico', 'df']",
tbm5,4SXQKAg2BBk,"['ฉลาดล้ำโลก', '6', 'อันดับขนมหวาน', 'ที่มีแคลอรี่มากที่สุด', 'Force8949']","['Food', 'Recipe']"
D8JJ,My2j9weEAuw,"['andy', 'murray', 'tennis', 'finals', 'professional', 'Tournaments', 'british', 'scotland', 'sport', 'jamie', 'us', 'open', 'wimbledon', 'competition', 'press', 'news', 'injury', 'parents', 'coach', 'hands', 'pickle', 'juice']","['Game', 'Tennis']"
rmLa,5lGz_MIeGps,"['Wedding', 'Band', 'Acoustic', 'Bali (Indonesian Province)']",
RrxS,FBx5F3DJvAU,"['minecraft', 'magic', 'carpet', 'mod', 'dywan', 'magiczny', 'latający', 'flying', 'fly', 'hack', 'bug', 'trick', 'modyfikacje', 'aladdin', 'gplay', 'minecraftgplay', 'rug']","['Game', 'Video game', 'Minecraft']"
kYfC,fw_N_HH92HE,"['quinceanos', 'Los Elegantes dela Banda']","['Musician', 'Dance', 'Musical ensemble', 'Wedding', 'Brass instrument', 'Marinera']"
6ClA,fTWaoiFFjnc,"['Spearfishing', 'Freediving', 'Cod', 'Wreckdiving', 'Wreck', 'Spearo', 'Uvjagt', 'Vragdyk', 'torsk']","['Vehicle', 'Pet', 'Fishing', 'Fish', 'Underwater', 'Underwater diving', 'Scuba diving']"
zVqt,j34k4v4lLhY,,"['Vehicle', 'Car', 'Motorsport', 'Truck', 'Four-wheel drive', 'Sport utility vehicle', 'Off-road vehicle', 'Jeep', 'Mud bogging', 'Mud', 'Jeep Wrangler', 'Suzuki Jimny', 'Winch']"
B3IA,EWy65iNpIhk,"['Mks Dj', 'La Perfecta Ocasion', 'Remix', 'altosremix', 'todoremix', 'sarpadosremix', 'remix piola', 'remixpiola', 'tu papá', 'nene malo']","['Cartoon', 'Disc jockey']"
FPEZ,Dl9EEBkT2Es,"['ONE', 'PIECE', 'CHAPTER', '704', '(BATTLE', 'FOR', 'THE', 'FRUIT!)', 'thephone999', 'eiichiro', 'oda', 'narutards', 'bleachtards', 'amv', 'luffy', 'punch', 'nami', 'usopp', 'tony', 'chopper', 'zoro', 'sanji', 'nico', 'robin', 'franky', 'brook', 'one', 'piece', 'strong', 'mashashi', 'kishimoto', 'tite', 'kubo', 'sucks', 'anime', 'manga', 'vs', 'kuma', 'funimation', 'tenryubito', 'Shishi', 'Sonson', 'japan', 'kyo', 'osaka', 'gear', 'second', 'epic', 'impel', 'down', 'enies', 'lobby', 'CP9', 'water', 'enel', 'skypiea', 'arc', 'ワンピース', 'world']",
7zUA,VajioEyYevo,"['Hip', 'Hop', 'Uni', 'Oldenburg', 'Dance', 'Variétakel']","['Performance art', 'Dance']"
HAND,SKbSjxaTLXw,"['Barfuas ida Söck', 'barefeet in socks', 'montischuachbandl', 'muntafu', 'montafoner band', 'bandnudla', 'fugi', 'michael pernull', 'dome bandl', 'barfuss in den socken', 'barfuas i da soeck', 'barfuaß ida söck', 'barfüaß ida söck', 'gaudisound', 'dynamisches trio', 'hüttengaudi', 'beste band vorarlbergs', 'oberland musik', 'coverband']","['Musician', 'Guitar', 'String instrument', 'Acoustic guitar', 'Electric guitar']"
IkJk,B8B8cWkBoV0,"['Zero Five', 'Vertical antenna', '5/8 gain', 'vs', 'dipole', '3 db', '1 s unit', 'amateur radio', 'compare', 'remote receiver', 'test', 'ham', 'antenna', '20 meters Electronics']","['Vehicle', 'Car', 'Train']"
nbUy,3AbXa0z6lCE,"['Gears', 'Of', 'War', 'Cliff', 'Bleszinski', 'Gow2', 'Gow', 'CliffyB', 'Locust', 'Cog', 'Marcus', 'Carmine', 'Epic', 'Games', 'Trailer', 'Interview', 'Gameplay', 'Xbox', '360']",
r9rA,jsBqgnmlydo,"['Coco', 'Bongo', 'Spiderman']",['Concert']
iPTZ,MLkppBi18lA,,"['Fashion', 'Dress', 'Model (person)', 'Jacket', 'Winter', 'Coat (clothing)']"
wJ71,8mdrh2B7nC8,"['runescape', 'pking', 'ownage', 'school', 'quality', 'pvp', 'hunter', 'bounty', 'stretch', 'arena', 'clan', 'range', 'dragon', 'owned', 'mage', 'claws', 'bounty hunter', 'f2p', 'owning', 'strength', 'video game']","['Game', 'Video game', 'RuneScape']"
XXOL,HNA-KnbP5ys,"['Iowa State Football', 'CycloneFanatic.com', 'Steele Jantz', 'Jerome Tiller', 'Leonard Johnson', 'Darius Reynolds', 'Shontrelle Johnson', 'Jake Knott']",
GLvO,GwyHlmzB-RI,['yumitus'],"['Musician', 'Guitar', 'String instrument', 'Piano', 'Pianist']"
60p4,-DZG8jJY358,"['Lewistown', 'Pa', 'Mifflin', 'county', 'derry', 'township', 'station', 'engine', 'aircraft', 'accident', 'life', 'flight', 'power', 'call', 'fire', 'department', 'hph445']","['Vehicle', 'Car', 'Firefighter', 'Fire']"
QAdj,-6jAFUtQdt0,"['flying', 'malaga', 'ryanair', 'take off', 'cockpit', 'nice', 'boeing', 'airport', 'film', 'best', 'scarry']","['Vehicle', 'Aircraft', 'Airplane', 'Airline', 'Landing', 'Airliner', 'Takeoff', 'Airport', 'Jet aircraft', 'Aviation', 'Runway', 'Boeing 737', 'Boeing 737 Next Generation', 'Southwest Airlines']"
6xzG,u3vpgltwE_8,"['lambo', 'gallardo']","['Video game', 'Vehicle', 'Car', 'Racing', 'Sports car', 'Driving', 'Supercar', 'Lamborghini', 'Bugatti Veyron', 'Test Drive (series)', 'Bugatti Automobiles', 'Lamborghini Murciélago', 'Test Drive Unlimited 2', 'Test Drive Unlimited']"
Lf2U,w3zvn5XXIuM,"['piano', 'dubon', 'Oswaldo dubon', 'new age', 'instrumental', 'piano solo', 'Aurora']","['Piano', 'Keyboard instrument', 'Pianist', 'Musical keyboard']"
spq5,cy5HIzgFi-4,"['DerkosIII', 'Derkos III', 'Derkos3', 'Pack Opening', 'FIFA 14', 'FIFA ultimate team', 'FUT14', 'PLayer Review', 'Test de joueur', 'Boost', 'Ronaldo', 'Messi', 'Pink slpis', 'Pack à 100K', 'Pack Special', 'FUT15', 'FUT14;', '100k packs']","['Game', 'Video game', 'Sports game', 'FIFA 15']"
